Track 5 Song,Rating,,None Track 5 Song,Individual Rating,,Average Rating of Track 5 Song,Average Rating,,Song Title,Average Rating of None Track 5
Cold As You,6,,afterglow,5,,Cold As You,6.305555556,,None Track 5 Songs,6.257534247
Cold As You,10,,anti hero,7,,White Horse,7.842592593,,Track 5 Songs,7.732407407
Cold As You,8,,back to december,10,,Dear John,8.092592593,,,
Cold As You,4,,Being again ,7,,All You Had To Do Was Stay,7.509259259,,,
Cold As You,10,,Better than revenge ,8,,Delicate,8.037037037,,,
Cold As You,6,,bewejeled,6,,The Archer,7.601851852,,,
Cold As You,9,,blank space,7,,My Tears Ricochet,8.064814815,,,
Cold As You,8,,Blank space ,3,,Tolerate It,7.592592593,,,
Cold As You,7,,breathe,1,,You're On Your Own Kid,8.694444444,,,
Cold As You,8,,conney island,6,,All Too Well,7.583333333,,,
Cold As You,7,,Cowboy like me ,9,,,,,,
Cold As You,8,,cruel summer,5,,,,,,
Cold As You,8,,daylight,8,,,,,,
Cold As You,7,,dear leader,4,,,,,,
Cold As You,5,,dear leader,6,,,,,,
Cold As You,7,,dress,1,,,,,,
Cold As You,9,,endgame,3,,,,,,
Cold As You,4,,Endgame ,4.5,,,,,,
Cold As You,8,,everything has changed,7,,,,,,
Cold As You,5,,false god,4,,,,,,
Cold As You,7,,Getaway car ,5,,,,,,
Cold As You,7,,Getaway car ,8.7,,,,,,
Cold As You,5,,Glitch ,3,,,,,,
Cold As You,3,,Glitch ,8.5,,,,,,
Cold As You,8,,gold rush,4,,,,,,
Cold As You,4,,Gorgeous ,6,,,,,,
Cold As You,6,,Holy ground ,9,,,,,,
Cold As You,10,,how you get the girl,9,,,,,,
Cold As You,7,,I did something bad,8,,,,,,
Cold As You,6,,i forgot that you existed,8,,,,,,
Cold As You,4,,I know places ,1,,,,,,
Cold As You,5,,karma,4,,,,,,
Cold As You,7,,karma,3,,,,,,
Cold As You,6,,king of my heart,7,,,,,,
Cold As You,4,,Last kiss,9,,,,,,
Cold As You,8,,lavendar haze,4,,,,,,
Cold As You,10,,London boy,7,,,,,,
Cold As You,9,,longlive,9,,,,,,
Cold As You,6,,mad woman,10,,,,,,
Cold As You,4,,maroon,8,,,,,,
Cold As You,6,,me,8,,,,,,
Cold As You,8,,miss america and the heartbreak,6,,,,,,
Cold As You,4,,never ever getting back together,7,,,,,,
Cold As You,7,,Shake it off ,5,,,,,,
Cold As You,5,,Shake it off ,4,,,,,,
Cold As You,7,,Snow on the beach ,6.8,,,,,,
Cold As You,3,,Snow on the beach ,8,,,,,,
Cold As You,9,,So it goes ,4,,,,,,
Cold As You,6,,Soon it will get better ,8,,,,,,
Cold As You,6,,sparks fly,8,,,,,,
Cold As You,6,,speak now,5,,,,,,
Cold As You,1,,starlight,10,,,,,,
Cold As You,6,,stay stay stay,6,,,,,,
Cold As You,5,,stay stay stay,4,,,,,,
Cold As You,8,,stay stay stay,2,,,,,,
Cold As You,5,,Stay stay stay ,5.5,,,,,,
Cold As You,4,,Stay stay stay ,1,,,,,,
Cold As You,10,,super start,7,,,,,,
Cold As You,7,,tear drop on my guitar,10,,,,,,
Cold As You,6,,tetris,10,,,,,,
Cold As You,5,,The last great American dynasty ,5,,,,,,
Cold As You,8,,the man,8,,,,,,
Cold As You,6,,the one,8,,,,,,
Cold As You,5,,the way I loved you,9.8,,,,,,
Cold As You,5,,Treacherous ,2,,,,,,
Cold As You,7,,Treacherous,9,,,,,,
Cold As You,4,,unotuchable,7,,,,,,
Cold As You,5,,welcome new york,8,,,,,,
Cold As You,3,,Willow,8,,,,,,
Cold As You,8,,would could have should have,6,,,,,,
Cold As You,5,,You are in love ,9,,,,,,
Cold As You,5,,You are in love ,6,,,,,,
Cold As You,4,,youre not sorry,3,,,,,,
Cold As You,7,,,,,,,,,
Cold As You,8,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,8,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,7,,,,,,,,,
Cold As You,8,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,7,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,4,,,,,,,,,
Cold As You,7,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,8,,,,,,,,,
Cold As You,7,,,,,,,,,
Cold As You,8,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,10,,,,,,,,,
Cold As You,9,,,,,,,,,
Cold As You,4,,,,,,,,,
Cold As You,4,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,2,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,10,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,9,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,5,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,6,,,,,,,,,
Cold As You,7,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,4,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,1,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,4,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,5,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,7,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,8,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,9,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,10,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,3,,,,,,,,,
White Horse,6,,,,,,,,,
White Horse,6,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,3,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,3,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,4,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,2,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,5,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,7,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,6,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,9,,,,,,,,,
Dear John,10,,,,,,,,,
Dear John,8,,,,,,,,,
Dear John,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,2,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,1,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,3,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,5,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,4,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,6,,,,,,,,,
All You Had To Do Was Stay,7,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
All You Had To Do Was Stay,9,,,,,,,,,
All You Had To Do Was Stay,10,,,,,,,,,
All You Had To Do Was Stay,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,3,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,4,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,1,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,4,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,7,,,,,,,,,
Delicate,9,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,6,,,,,,,,,
Delicate,5,,,,,,,,,
Delicate,10,,,,,,,,,
Delicate,8,,,,,,,,,
Delicate,3,,,,,,,,,
Delicate,9,,,,,,,,,
